"Marca temporal","¿Cúal es su lugar de residencia?","En el caso de que haya marcado anteriormente que su lugar de residencia NO es Alcoi. ¿Podría especificar de dónde es? (país, provincia, municipio...)","¿Con cuántas personas viaja?","¿Con cuántas personas de las que viaja han entrado a las Tourist-Info?","Con el fin de mejorar nuestros servicios de información turística. ¿Me podría indicar si tiene el Wifi de su teléfono móvil abierto para conectarse a redes Wifi disponibles?"
"2021/06/22 10:05:40 a. m. EET","Alcoi","","2","2","No entiendo la pregunta"
"2021/06/22 10:58:33 a. m. EET","España","Madrid","0","0","No"
"2021/06/23 10:13:42 a. m. EET","Alcoi","","0","0","Sí"
"2021/06/23 10:14:04 a. m. EET","España","Amposta","1","1","Sí"
"2021/06/23 10:46:55 a. m. EET","Internacional","Belgica","1","1","Sí"
"2021/06/23 11:26:12 a. m. EET","Internacional","Rusia","1","1","No entiendo la pregunta"
"2021/06/23 11:27:25 a. m. EET","Comunidad Valenciana","Alicante ","2","2","Sí"
"2021/06/24 10:13:03 a. m. EET","Internacional","Belgica","0","0","Sí"
"2021/06/24 10:57:38 a. m. EET","Internacional","Bélgica ","1","1","No"
"2021/06/24 11:06:55 a. m. EET","Comunidad Valenciana","Valencia","2","2","Sí"
"2021/06/24 11:26:15 a. m. EET","Comunidad Valenciana","Valencia ","1","1","Sí"
"2021/06/24 11:41:55 a. m. EET","España","Cuenca","1","1","Sí"
"2021/06/24 11:52:43 a. m. EET","España","Sevilla","1","0","Sí"
"2021/06/24 12:00:28 p. m. EET","Alcoi","","1","1","Sí"
"2021/06/24 12:59:05 p. m. EET","Comunidad Valenciana","Valencia ","1","1","Sí"
"2021/06/24 1:23:57 p. m. EET","Comunidad Valenciana","Denia","1","0","No"
"2021/06/24 1:24:30 p. m. EET","Comunidad Valenciana","Valencia","3","3","Sí"
"2021/06/24 1:25:22 p. m. EET","Comunidad Valenciana","Valencia ","2","2","Sí"
"2021/06/24 1:56:18 p. m. EET","Alcoi","","0","0","No"
"2021/06/25 10:51:41 a. m. EET","Comunidad Valenciana","Catellon de la plana","1","1","No"
"2021/06/25 10:52:05 a. m. EET","Alcoi","","0","0","No"
"2021/06/25 11:24:33 a. m. EET","España","Cataluña ","1","1","Sí"
"2021/06/25 1:00:54 p. m. EET","Comunidad Valenciana","Valencia ","2","2","Sí"
"2021/06/25 2:34:40 p. m. EET","España","Tarrasa","1","1","No"
"2021/06/26 10:17:08 a. m. EET","España","Murcia","1","1","Sí"
"2021/06/26 11:10:12 a. m. EET","España","Madrid","1","1","Sí"
"2021/06/26 11:11:02 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/06/26 12:51:19 p. m. EET","Comunidad Valenciana","Alicante ","1","1","Sí"
"2021/06/26 1:24:15 p. m. EET","Comunidad Valenciana","Valencia ","1","1","Sí"
"2021/06/26 1:25:33 p. m. EET","Comunidad Valenciana","Guardamar","1","1","No entiendo la pregunta"
"2021/06/27 10:03:37 a. m. EET","Alcoi","","0","0","Sí"
"2021/06/27 10:43:02 a. m. EET","España","Zaragoza","1","1","No"
"2021/06/27 10:48:38 a. m. EET","Internacional","Inglaterra","0","0","Sí"
"2021/06/27 10:48:51 a. m. EET","Internacional","Colombia","0","0","Sí"
"2021/06/27 11:04:27 a. m. EET","Internacional","Francia","1","1","No"
"2021/06/27 11:30:27 a. m. EET","Comunidad Valenciana","La Safor","1","1","Sí"
"2021/06/27 12:26:17 p. m. EET","Alcoi","","0","0","Sí"
"2021/06/28 10:10:56 a. m. EET","Alcoi","","0","0","Sí"
"2021/06/28 10:56:44 a. m. EET","Internacional","Belgica","1","1","Sí"
"2021/06/28 11:22:49 a. m. EET","Alcoi","","0","0","Sí"
"2021/06/28 11:35:09 a. m. EET","Internacional","Holanda ","0","0","Sí"
"2021/06/28 11:35:25 a. m. EET","Internacional","Holanda ","0","0","No"
"2021/06/28 11:35:52 a. m. EET","Comunidad Valenciana","Vinaros","4","4","Sí"
"2021/06/28 11:49:29 a. m. EET","Comunidad Valenciana","Valencia ","1","0","No"
"2021/06/28 11:53:49 a. m. EET","Alcoi","","0","0","Sí"
"2021/06/29 10:40:59 a. m. EET","Comunidad Valenciana","Alicante ","1","0","Sí"
"2021/06/29 11:15:29 a. m. EET","España","Barcelona","1","1","Sí"
"2021/06/29 11:18:15 a. m. EET","España","Aragon","1","1","No entiendo la pregunta"
"2021/06/29 11:18:32 a. m. EET","España","Barcelona","1","1","Sí"
"2021/06/29 11:43:26 a. m. EET","Comunidad Valenciana","Valencia ","1","1","No entiendo la pregunta"
"2021/06/29 11:53:35 a. m. EET","Comunidad Valenciana","Elche","1","1","No"
"2021/06/29 12:15:47 p. m. EET","España","Malaga","3","3","No entiendo la pregunta"
"2021/06/29 1:31:09 p. m. EET","Internacional","Francia ","1","0","Sí"
"2021/06/30 11:54:12 a. m. EET","Alcoi","","0","0","Sí"
"2021/06/30 11:54:22 a. m. EET","Alcoi","","1","1","Sí"
"2021/06/30 11:54:30 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/06/30 1:22:36 p. m. EET","España","Madrid","2","2","Sí"
"2021/06/30 1:22:47 p. m. EET","Alcoi","","0","0","Sí"
"2021/06/30 1:32:52 p. m. EET","España","Madrid ","4","4","Sí"
"2021/07/01 11:48:07 a. m. EET","Comunidad Valenciana","Alicante","1","0","Sí"
"2021/07/01 11:58:46 a. m. EET","Alcoi","","0","0","Sí"
"2021/07/01 12:51:45 p. m. EET","España","Palencia","1","1","Sí"
"2021/07/01 1:09:08 p. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/01 1:50:24 p. m. EET","Alcoi","","0","0","Sí"
"2021/07/02 10:13:10 a. m. EET","Comunidad Valenciana","Ontinyent","0","0","Sí"
"2021/07/02 10:38:39 a. m. EET","Comunidad Valenciana","Valencia ","2","1","Sí"
"2021/07/02 10:56:56 a. m. EET","España","Barcelona ","0","0","Sí"
"2021/07/02 12:16:14 p. m. EET","Comunidad Valenciana","Valencia","2","2","Sí"
"2021/07/02 1:02:46 p. m. EET","Internacional","Ucrania","1","1","Sí"
"2021/07/02 1:25:22 p. m. EET","Internacional","Republica Checa","9","1","Sí"
"2021/07/03 1:09:46 p. m. EET","España","Zaragoza ","1","1","No"
"2021/07/04 11:20:28 a. m. EET","Comunidad Valenciana","Elche ","1","1","Sí"
"2021/07/04 12:01:50 p. m. EET","Comunidad Valenciana","Alicante ","0","0","No entiendo la pregunta"
"2021/07/04 1:16:15 p. m. EET","Internacional","Bélgica ","1","1","No entiendo la pregunta"
"2021/07/04 1:16:30 p. m. EET","España","Murcia ","1","0","Sí"
"2021/07/05 10:47:14 a. m. EET","Alcoi","","1","1","No entiendo la pregunta"
"2021/07/05 10:47:29 a. m. EET","España","Barcelona ","1","1","Sí"
"2021/07/05 11:32:42 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/05 12:01:09 p. m. EET","Alcoi","","0","0","No"
"2021/07/05 12:43:34 p. m. EET","Alcoi","","0","0","Sí"
"2021/07/05 1:24:49 p. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/05 1:36:35 p. m. EET","España","Madrid ","2","2","No"
"2021/07/06 10:10:13 a. m. EET","Alcoi","","0","0","Sí"
"2021/07/06 10:59:24 a. m. EET","Internacional","Inglaterra ","1","0","No"
"2021/07/06 11:00:19 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/06 11:11:36 a. m. EET","Comunidad Valenciana","Alzira","0","0","No entiendo la pregunta"
"2021/07/06 12:33:16 p. m. EET","Comunidad Valenciana","Alicante ","1","1","Sí"
"2021/07/06 1:20:25 p. m. EET","Internacional","Polonia","1","1","Sí"
"2021/07/07 10:15:10 a. m. EET","España","Alcala de Henares","1","0","Sí"
"2021/07/07 10:15:23 a. m. EET","Comunidad Valenciana","Alicante ","2","0","Sí"
"2021/07/07 10:33:54 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/07 10:35:06 a. m. EET","Alcoi","","2","2","Sí"
"2021/07/07 10:39:16 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/07 1:09:00 p. m. EET","Internacional","Alemania ","1","1","No"
"2021/07/07 1:36:34 p. m. EET","Comunidad Valenciana","Alicante ","2","0","No entiendo la pregunta"
"2021/07/07 1:46:13 p. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/07 1:59:22 p. m. EET","España","Madrid ","1","1","Sí"
"2021/07/08 10:17:02 a. m. EET","España","Murcia","1","0","No"
"2021/07/08 10:29:44 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/08 10:46:32 a. m. EET","Comunidad Valenciana","Elda","1","1","Sí"
"2021/07/08 11:04:56 a. m. EET","España","Madrid ","2","0","No entiendo la pregunta"
"2021/07/08 11:14:46 a. m. EET","Comunidad Valenciana","Alzira","1","0","Sí"
"2021/07/08 11:54:11 a. m. EET","Internacional","Noruega","1","1","Sí"
"2021/07/08 11:54:30 a. m. EET","España","Santander","1","1","Sí"
"2021/07/08 11:54:45 a. m. EET","España","Malaga","1","1","Sí"
"2021/07/08 12:26:37 p. m. EET","Internacional","Bélgica ","1","0","Sí"
"2021/07/08 12:35:18 p. m. EET","Comunidad Valenciana","Denia","2","2","Sí"
"2021/07/08 12:35:32 p. m. EET","España","Segovia","2","0","No"
"2021/07/08 12:49:45 p. m. EET","Comunidad Valenciana","Alicante","2","2","Sí"
"2021/07/08 12:50:06 p. m. EET","España","Guadalajara","1","1","No"
"2021/07/09 11:54:44 a. m. EET","Alcoi","","0","0","Sí"
"2021/07/09 1:02:53 p. m. EET","España","Barcelona","1","0","No entiendo la pregunta"
"2021/07/09 1:10:24 p. m. EET","Internacional","Bélgica ","1","1","Sí"
"2021/07/10 10:45:55 a. m. EET","Comunidad Valenciana","Castellón ","1","1","Sí"
"2021/07/10 10:46:18 a. m. EET","España","Barcelona","1","1","Sí"
"2021/07/10 10:54:57 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/10 12:24:41 p. m. EET","Comunidad Valenciana","Valencia","1","1","No"
"2021/07/10 12:24:55 p. m. EET","Comunidad Valenciana","Castellon","1","1","Sí"
"2021/07/10 1:03:45 p. m. EET","Comunidad Valenciana","Alzira","1","1","No"
"2021/07/10 1:43:10 p. m. EET","Comunidad Valenciana","Paterna","1","1","Sí"
"2021/07/11 11:21:05 a. m. EET","Internacional","Inglaterra ","4","1","No"
"2021/07/11 11:55:47 a. m. EET","España","Murcia","4","4","Sí"
"2021/07/11 11:56:10 a. m. EET","Comunidad Valenciana","Valencia ","3","3","No"
"2021/07/11 1:34:03 p. m. EET","Comunidad Valenciana","Ibi","7","2","Sí"
"2021/07/12 10:12:03 a. m. EET","Alcoi","","0","0","Sí"
"2021/07/12 10:52:59 a. m. EET","Alcoi","","0","0","Sí"
"2021/07/12 10:53:21 a. m. EET","España","Cataluña ","1","1","Sí"
"2021/07/12 11:15:58 a. m. EET","España","Madrid","1","1","No"
"2021/07/12 11:18:03 a. m. EET","Alcoi","","0","0","Sí"
"2021/07/12 12:16:38 p. m. EET","España","Andalucía ","5","5","Sí"
"2021/07/12 1:44:46 p. m. EET","Comunidad Valenciana","Alicante ","1","1","Sí"
"2021/07/13 10:10:46 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/13 10:10:55 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/13 10:58:21 a. m. EET","Internacional","Italia ","4","4","No"
"2021/07/13 10:58:46 a. m. EET","Alcoi","","4","4","Sí"
"2021/07/13 10:58:58 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/13 12:09:41 p. m. EET","Alcoi","","1","1","No"
"2021/07/13 12:10:18 p. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/13 12:11:05 p. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/13 12:29:37 p. m. EET","España","Madrid","3","0","No"
"2021/07/13 12:31:43 p. m. EET","Internacional","Belgica","1","1","Sí"
"2021/07/14 12:03:08 p. m. EET","Internacional","Noruega ","1","1","No entiendo la pregunta"
"2021/07/14 12:04:01 p. m. EET","Internacional","Noruega","1","1","Sí"
"2021/07/14 1:39:11 p. m. EET","España","Valencia ","1","1","No"
"2021/07/14 2:00:44 p. m. EET","España","Bilbao ","1","1","No entiendo la pregunta"
"2021/07/15 10:25:51 a. m. EET","España","Jaén ","2","2","Sí"
"2021/07/15 10:32:12 a. m. EET","España","Girona","1","1","Sí"
"2021/07/15 10:45:12 a. m. EET","Internacional","Argentina","2","2","Sí"
"2021/07/15 11:48:33 a. m. EET","España","Málaga ","3","3","No"
"2021/07/15 1:41:10 p. m. EET","Internacional","Alemania ","6","1","Sí"
"2021/07/15 1:41:35 p. m. EET","España","Madrid","2","2","No"
"2021/07/16 10:22:44 a. m. EET","Internacional","Inglaterra ","0","0","Sí"
"2021/07/16 10:31:33 a. m. EET","Alcoi","","0","0","Sí"
"2021/07/16 11:19:16 a. m. EET","Internacional","Amsterdam ","1","1","Sí"
"2021/07/16 11:19:31 a. m. EET","Comunidad Valenciana","Alicante","1","0","Sí"
"2021/07/16 11:59:51 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/16 1:24:14 p. m. EET","Internacional","Holanda","1","1","Sí"
"2021/07/16 1:47:26 p. m. EET","Internacional","Francia","1","1","Sí"
"2021/07/16 2:02:23 p. m. EET","España","Salamanca","1","1","Sí"
"2021/07/17 12:07:10 p. m. EET","Comunidad Valenciana","Alicante ","1","1","Sí"
"2021/07/17 12:07:41 p. m. EET","Comunidad Valenciana","Valencia ","1","1","Sí"
"2021/07/17 12:08:17 p. m. EET","Comunidad Valenciana","","2","2","Sí"
"2021/07/17 12:08:41 p. m. EET","Comunidad Valenciana","","1","1","Sí"
"2021/07/17 12:17:10 p. m. EET","Comunidad Valenciana","Valencia","1","1","Sí"
"2021/07/17 12:24:41 p. m. EET","Comunidad Valenciana","Ontinyent ","0","0","Sí"
"2021/07/17 12:45:54 p. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/17 12:46:09 p. m. EET","España","Cataluña ","1","1","Sí"
"2021/07/17 12:58:05 p. m. EET","España","Canarias ","1","1","No entiendo la pregunta"
"2021/07/17 12:58:24 p. m. EET","Comunidad Valenciana","Elche ","1","1","No entiendo la pregunta"
"2021/07/17 12:58:41 p. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/17 1:11:52 p. m. EET","Comunidad Valenciana","Elche","1","1","No entiendo la pregunta"
"2021/07/18 10:16:36 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/18 10:49:46 a. m. EET","Alcoi","","0","0","Sí"
"2021/07/18 11:17:13 a. m. EET","Alcoi","","0","0","No"
"2021/07/18 12:54:44 p. m. EET","Internacional","Holanda ","1","1","No entiendo la pregunta"
"2021/07/18 1:43:22 p. m. EET","Comunidad Valenciana","Pais Vasco ","2","2","No entiendo la pregunta"
"2021/07/19 11:45:17 a. m. EET","Alcoi","","0","0","No"
"2021/07/19 11:53:49 a. m. EET","Internacional","Francia ","1","1","No entiendo la pregunta"
"2021/07/19 11:56:40 a. m. EET","España","Barcelona","3","3","Sí"
"2021/07/19 11:57:11 a. m. EET","Alcoi","","0","0","No"
"2021/07/19 11:59:11 a. m. EET","Comunidad Valenciana","Bunyol","1","1","Sí"
"2021/07/19 12:08:10 p. m. EET","Comunidad Valenciana","Valencia","0","0","Sí"
"2021/07/19 12:32:34 p. m. EET","España","Madrid","1","1","No"
"2021/07/19 1:29:22 p. m. EET","Internacional","Francia","1","1","No"
"2021/07/20 11:16:08 a. m. EET","Comunidad Valenciana","Alicante ","2","2","Sí"
"2021/07/20 11:32:24 a. m. EET","Internacional","Francia","3","3","Sí"
"2021/07/20 11:33:02 a. m. EET","Alcoi","","2","2","Sí"
"2021/07/20 11:38:46 a. m. EET","Comunidad Valenciana","Alicante ","2","1","Sí"
"2021/07/20 11:53:19 a. m. EET","España","Burgos ","3","1","No"
"2021/07/20 12:30:45 p. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/20 12:35:56 p. m. EET","Comunidad Valenciana","Castellon","1","1","Sí"
"2021/07/20 12:48:45 p. m. EET","España","Asturias ","1","0","No"
"2021/07/21 10:26:56 a. m. EET","España","Madrid","1","1","Sí"
"2021/07/21 11:06:11 a. m. EET","Comunidad Valenciana","Calpe ","1","1","Sí"
"2021/07/21 11:13:09 a. m. EET","España","Toledo","1","1","Sí"
"2021/07/21 11:44:35 a. m. EET","Comunidad Valenciana","Pego","1","1","No"
"2021/07/21 11:59:30 a. m. EET","Internacional","Rumania","1","1","No"
"2021/07/21 12:11:35 p. m. EET","Comunidad Valenciana","Pego","3","1","Sí"
"2021/07/21 1:02:05 p. m. EET","Comunidad Valenciana","Pego ","1","1","No entiendo la pregunta"
"2021/07/21 1:04:19 p. m. EET","Alcoi","","0","0","Sí"
"2021/07/21 1:15:20 p. m. EET","Alcoi","","0","0","No"
"2021/07/22 10:46:17 a. m. EET","España","Madrid","0","0","Sí"
"2021/07/22 10:46:37 a. m. EET","Alcoi","","2","1","Sí"
"2021/07/22 12:18:47 p. m. EET","Internacional","Bélgica ","1","0","No entiendo la pregunta"
"2021/07/23 10:24:40 a. m. EET","España","Cataluña ","0","0","No"
"2021/07/23 10:47:28 a. m. EET","Alcoi","","0","0","Sí"
"2021/07/23 11:22:05 a. m. EET","Comunidad Valenciana","Valencia","1","1","Sí"
"2021/07/23 11:22:24 a. m. EET","Internacional","Argentina","1","1","Sí"
"2021/07/23 11:23:51 a. m. EET","Comunidad Valenciana","Algemesi","1","0","Sí"
"2021/07/23 11:24:42 a. m. EET","Comunidad Valenciana","Algemesi","1","0","No"
"2021/07/23 11:46:01 a. m. EET","Alcoi","","0","0","No"
"2021/07/23 1:40:25 p. m. EET","España","Madrid","1","1","No"
"2021/07/24 10:44:10 a. m. EET","Alcoi","","0","0","Sí"
"2021/07/24 11:10:17 a. m. EET","España","Calafell","1","0","No"
"2021/07/24 11:12:12 a. m. EET","Alcoi","","0","0","Sí"
"2021/07/24 11:45:10 a. m. EET","Alcoi","","0","0","No"
"2021/07/24 11:45:21 a. m. EET","Alcoi","","0","0","Sí"
"2021/07/24 11:45:36 a. m. EET","Internacional","Colombia","0","0","Sí"
"2021/07/24 12:26:14 p. m. EET","Comunidad Valenciana","Valencia","1","1","No"
"2021/07/24 1:17:38 p. m. EET","España","Madrid","3","3","Sí"
"2021/07/24 1:29:11 p. m. EET","Alcoi","","0","0","Sí"
"2021/07/24 1:29:20 p. m. EET","Alcoi","","0","0","No"
"2021/07/24 1:59:51 p. m. EET","Comunidad Valenciana","Valencia","1","1","Sí"
"2021/07/25 10:19:44 a. m. EET","España","Barcelona","2","1","Sí"
"2021/07/25 10:50:20 a. m. EET","Alcoi","","1","1","No"
"2021/07/25 11:41:10 a. m. EET","Comunidad Valenciana","Elx","1","1","No"
"2021/07/25 12:13:14 p. m. EET","España","Madrid","3","1","Sí"
"2021/07/26 11:23:45 a. m. EET","Alcoi","","1","1","No entiendo la pregunta"
"2021/07/26 11:53:58 a. m. EET","España","Bilbao","1","1","Sí"
"2021/07/26 12:03:50 p. m. EET","España","Madrid","1","1","Sí"
"2021/07/26 12:17:05 p. m. EET","España","Cataluña ","2","2","Sí"
"2021/07/26 12:21:19 p. m. EET","Alcoi","","0","0","No"
"2021/07/26 12:26:21 p. m. EET","Comunidad Valenciana","Torrent","1","1","Sí"
"2021/07/27 10:07:30 a. m. EET","Alcoi","","1","1","Sí"
"2021/07/27 10:22:42 a. m. EET","Internacional","Francia","3","1","Sí"
"2021/07/27 10:52:49 a. m. EET","Comunidad Valenciana","Valencia ","2","2","No"
"2021/07/27 10:53:42 a. m. EET","España","Madrid","1","1","No"
"2021/07/27 11:32:12 a. m. EET","España","Cataluña","1","1","No"
"2021/07/27 11:55:35 a. m. EET","España","Barcelona","7","0","Sí"
"2021/07/27 12:30:09 p. m. EET","Comunidad Valenciana","Elche","2","2","No"
"2021/07/27 12:49:40 p. m. EET","Internacional","Noruega","2","2","Sí"
"2021/07/27 1:13:32 p. m. EET","Internacional","Belgica","3","3","No entiendo la pregunta"
"2021/07/27 1:29:28 p. m. EET","Comunidad Valenciana","Montserrat","1","0","No"
"2021/07/27 1:54:53 p. m. EET","España","SSegovia ","2","0","No"
"2021/07/27 1:57:52 p. m. EET","Alcoi","","0","0","Sí"
"2021/07/28 10:25:07 a. m. EET","Comunidad Valenciana","La pobla","1","1","Sí"
"2021/07/28 10:25:18 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/28 10:50:04 a. m. EET","España","Almería ","1","1","Sí"
"2021/07/28 11:34:35 a. m. EET","España","Murcia","2","1","Sí"
"2021/07/28 11:50:10 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/28 11:53:58 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/28 12:45:25 p. m. EET","España","Guadalajara ","1","1","No"
"2021/07/28 12:53:14 p. m. EET","España","Albacete ","2","2","Sí"
"2021/07/28 1:03:26 p. m. EET","Internacional","Londres","1","1","No entiendo la pregunta"
"2021/07/28 1:45:36 p. m. EET","Comunidad Valenciana","Valencia ","1","0","No"
"2021/07/29 10:34:23 a. m. EET","Alcoi","","1","0","No entiendo la pregunta"
"2021/07/29 10:34:40 a. m. EET","Internacional","Belgium","1","1","No entiendo la pregunta"
"2021/07/29 11:03:56 a. m. EET","España","Madrid","1","1","Sí"
"2021/07/29 11:04:08 a. m. EET","Internacional","Francia ","1","1","No"
"2021/07/29 11:04:20 a. m. EET","Alcoi","","1","1","Sí"
"2021/07/29 11:51:33 a. m. EET","Alcoi","","0","0","Sí"
"2021/07/29 11:51:49 a. m. EET","Internacional","Belgica","6","0","No entiendo la pregunta"
"2021/07/29 12:11:15 p. m. EET","Comunidad Valenciana","Cuartell","2","1","Sí"
"2021/07/29 12:22:51 p. m. EET","Alcoi","","0","0","Sí"
"2021/07/29 12:23:09 p. m. EET","Alcoi","","0","0","Sí"
"2021/07/29 12:46:50 p. m. EET","Comunidad Valenciana","Sagunto ","1","1","No"
"2021/07/29 1:04:09 p. m. EET","Internacional","Belgium","3","3","Sí"
"2021/07/30 11:16:19 a. m. EET","Alcoi","","0","0","No"
"2021/07/30 11:19:46 a. m. EET","Internacional","Francia","1","1","Sí"
"2021/07/30 11:42:13 a. m. EET","Alcoi","","0","0","No"
"2021/07/30 12:06:50 p. m. EET","Comunidad Valenciana","Puzol","0","0","Sí"
"2021/07/30 12:19:54 p. m. EET","Comunidad Valenciana","Benidorm","1","1","No"
"2021/07/30 12:24:32 p. m. EET","Comunidad Valenciana","Valencia","5","5","Sí"
"2021/07/30 12:57:31 p. m. EET","Comunidad Valenciana","Valencia","4","4","Sí"
"2021/07/31 10:19:16 a. m. EET","Internacional","Belgica","3","1","No entiendo la pregunta"
"2021/07/31 10:19:39 a. m. EET","España","Murcia","3","3","Sí"
"2021/07/31 10:57:44 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/07/31 11:20:48 a. m. EET","Comunidad Valenciana","Alicante ","2","1","Sí"
"2021/07/31 11:52:53 a. m. EET","Comunidad Valenciana","Alicante ","1","1","Sí"
"2021/07/31 12:11:02 p. m. EET","España","Madrid ","4","2","No"
"2021/07/31 12:43:03 p. m. EET","Internacional","Inglaterra ","0","0","No entiendo la pregunta"
"2021/07/31 1:17:27 p. m. EET","Comunidad Valenciana","Valencia ","3","3","Sí"
"2021/07/31 1:18:16 p. m. EET","Comunidad Valenciana","Alicante ","1","1","No entiendo la pregunta"
"2021/07/31 1:18:56 p. m. EET","España","Madrid","1","1","No entiendo la pregunta"
"2021/07/31 1:19:27 p. m. EET","España","Tenerife","3","1","Sí"
"2021/07/31 1:20:28 p. m. EET","España","Ibiza","1","1","No"
"2021/07/31 1:53:10 p. m. EET","Alcoi","","0","0","No"
"2021/08/01 10:21:16 a. m. EET","España","Barcelona ","0","0","Sí"
"2021/08/01 10:42:08 a. m. EET","Comunidad Valenciana","Elche","3","3","Sí"
"2021/08/01 10:42:28 a. m. EET","Comunidad Valenciana","Valencia ","4","4","Sí"
"2021/08/01 10:57:56 a. m. EET","Alcoi","","1","1","No entiendo la pregunta"
"2021/08/01 11:32:18 a. m. EET","Alcoi","","1","1","Sí"
"2021/08/01 11:32:37 a. m. EET","España","Murcia ","1","1","No entiendo la pregunta"
"2021/08/01 12:32:53 p. m. EET","Comunidad Valenciana","Valencia ","1","1","Sí"
"2021/08/01 1:06:54 p. m. EET","Internacional","Argentina ","1","1","Sí"
"2021/08/01 1:07:35 p. m. EET","Comunidad Valenciana","Alicante ","1","0","No entiendo la pregunta"
"2021/08/01 1:08:19 p. m. EET","España","Ciudad real","2","2","Sí"
"2021/08/01 1:20:16 p. m. EET","España","Madrid","1","1","Sí"
"2021/08/01 1:58:15 p. m. EET","Comunidad Valenciana","Gandia","1","1","No"
"2021/08/02 10:17:22 a. m. EET","Comunidad Valenciana","Alicante","0","0","No entiendo la pregunta"
"2021/08/02 11:03:20 a. m. EET","Alcoi","","0","0","Sí"
"2021/08/02 11:34:20 a. m. EET","España","Madrid","3","3","Sí"
"2021/08/02 11:43:33 a. m. EET","Comunidad Valenciana","Valencia ","1","1","Sí"
"2021/08/02 11:43:50 a. m. EET","Alcoi","","0","0","Sí"
"2021/08/02 11:58:13 a. m. EET","España","Madrid","0","0","No entiendo la pregunta"
"2021/08/02 11:58:39 a. m. EET","Comunidad Valenciana","Sueca","0","0","Sí"
"2021/08/02 12:38:49 p. m. EET","España","Cataluña","1","1","Sí"
"2021/08/03 10:26:27 a. m. EET","España","Madrid","1","1","No"
"2021/08/03 11:20:32 a. m. EET","Internacional","Francia","1","1","No"
"2021/08/03 11:36:00 a. m. EET","Comunidad Valenciana","Alicante","1","1","No"
"2021/08/03 12:01:50 p. m. EET","Alcoi","","0","0","No"
"2021/08/03 12:17:58 p. m. EET","España","Salamanca","1","0","Sí"
"2021/08/03 1:47:40 p. m. EET","España","Barcelona","1","1","No"
"2021/08/04 10:20:58 a. m. EET","Alcoi","","0","0","No"
"2021/08/04 10:46:26 a. m. EET","Comunidad Valenciana","Valencia ","1","1","No"
"2021/08/04 10:58:01 a. m. EET","España","Madrid","1","1","No"
"2021/08/04 11:16:42 a. m. EET","España","Zaragoza","1","1","No"
"2021/08/04 11:42:14 a. m. EET","España","Girona","1","1","Sí"
"2021/08/04 12:00:57 p. m. EET","España","Catalunya","1","1","No entiendo la pregunta"
"2021/08/04 12:01:18 p. m. EET","España","Madrid ","0","0","No"
"2021/08/04 12:11:39 p. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/08/04 12:56:02 p. m. EET","España","Salamanca ","1","1","No"
"2021/08/04 1:40:11 p. m. EET","España","Madrid","3","3","No"
"2021/08/05 10:06:22 a. m. EET","Alcoi","","0","0","No"
"2021/08/05 10:35:20 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/08/05 10:43:41 a. m. EET","Alcoi","","1","1","No entiendo la pregunta"
"2021/08/05 11:06:24 a. m. EET","Alcoi","","0","0","No entiendo la pregunta"
"2021/08/05 11:23:55 a. m. EET","Alcoi","","0","0","No"
"2021/08/05 11:49:22 a. m. EET","España","Talavera de la reina","2","0","Sí"
"2021/08/05 11:55:59 a. m. EET","Alcoi","","1","1","Sí"
"2021/08/05 12:02:23 p. m. EET","Comunidad Valenciana","Valencia ","4","0","No"
"2021/08/05 12:24:48 p. m. EET","Comunidad Valenciana","San Juan ","3","3","No"
"2021/08/05 12:26:19 p. m. EET","Comunidad Valenciana","Valencia ","1","1","No"
